UIC;Gare enquêtée;CSP;Pourcentage;Année
747006;Grenoble;Militaire;0.5;2015
775007;Nîmes;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;14.0;2014
318964;Avignon TGV;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;18.0;2015
271494;Aéroport Charles de Gaulle 2 TGV;Non communiqué;69.0;2013
271494;Aéroport Charles de Gaulle 2 TGV;Autre;0.2;2013
484006;Angers Saint Laud;Militaire;1.0;2015
318964;Avignon TGV;Sans emploi;8.0;2015
773002;Montpellier Saint-Roch;Artisan, Commerçant, Chef d'entreprise TPE;5.0;2015
751008;Marseille Saint-Charles;Militaire;1.0;2013
142109;Lorraine TGV;Technicien, Agent de maîtrise;5.0;2017
476002;Lorient;Scolaire (avant le bac);11.0;2010
396002;Le Mans;Etudiant (après le bac);11.0;2015
396002;Le Mans;Militaire;1.0;2015
444000;Caen;Technicien, Agent de maîtrise;6.0;2012
182014;Colmar;Retraité;6.0;2017
481002;Nantes;Etudiant (après le bac);13.0;2014
481002;Nantes;Ouvrier, Employé;19.0;2014
182063;Mulhouse;Retraité;4.0;2014
141002;Nancy;Militaire;2.0;2014
444000;Caen;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;23.0;2012
444000;Caen;Etudiant (après le bac);20.0;2012
223263;Lille Europe;Scolaire (avant le bac);2.0;2013
484006;Angers Saint Laud;Etudiant (après le bac);14.0;2015
484006;Angers Saint Laud;Retraité;12.0;2015
583005;Angoulême;Enseignant, Professeur;3.0;2012
753657;Arles;Militaire;0.8;2014
753657;Arles;Retraité;16.0;2014
753657;Arles;Sans emploi;4.0;2014
673004;Bayonne;Sans emploi;5.0;2013
444000;Caen;Artisan, Commerçant, Chef d'entreprise TPE;1.0;2012
478404;Laval;Ouvrier, Employé;20.0;2011
345025;Lens;Etudiant (après le bac);24.0;2016
223263;Lille Europe;Militaire;2.0;2013
142109;Lorraine TGV;Sans emploi;4.0;2017
762906;Lyon Saint Exupery TGV;Agriculteur, Exploitant agricole;0.5;2016
762906;Lyon Saint Exupery TGV;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;45.0;2016
111849;Marne la Vallée Chessy;Sans emploi;0.30000000000000004;2013
393702;Massy TGV;Etudiant (après le bac);7.0;2013
192039;Metz;Etudiant (après le bac);17.0;2011
113001;Paris Est;Ouvrier, Employé;29.0;2012
686006;Paris Gare de Lyon;Ouvrier, Employé;10.0;2012
391003;Paris Montparnasse 1 et 2 + Vaugirard;Retraité;11.0;2012
391003;Paris Montparnasse 1 et 2 + Vaugirard;Sans emploi;3.0;2012
391003;Paris Montparnasse 1 et 2 + Vaugirard;Technicien, Agent de maîtrise;6.0;2012
384008;Paris St Lazare;Technicien, Agent de maîtrise;7.0;2013
575001;Poitiers;Autre;3.0;2015
212027;Strasbourg;Etudiant (après le bac);26.0;2016
755009;Toulon;Enseignant, Professeur;3.0;2014
118000;Troyes;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;16.0;2015
581009;Bordeaux Saint-Jean;Artisan, Commerçant, Chef d'entreprise TPE;3.0;2014
444877;Cherbourg;Militaire;2.0;2015
182014;Colmar;Militaire;2.0;2017
677005;Hendaye;Retraité;40.0;2016
345025;Lens;Agriculteur, Exploitant agricole;0.5;2016
